LECROYWR640Zi,55822,Waveform
Segments,1,SegmentSize,24886
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2026 11:18:56,0                 
Time,Ampl
989041,177.1918029785156
989042,-165.6170959472656
989043,-148.20068359375
989044,-130.8275299072266
989045,-113.560302734375
989046,-96.23845672607422
989047,-78.88535308837891
989048,-61.67784881591797
989049,-44.39646148681641
989050,-27.0855655670166
989051,-9.786904335021973
989052,7.636848449707031
989053,24.88536262512207
989054,42.20683288574219
989055,59.55817031860352
989056,76.86027526855469
989057,94.16272735595703
989058,111.5800170898438
989059,128.8349914550781
989060,146.1083374023438
989061,163.2394714355469
989062,-179.6642761230469
989063,-162.4055328369141
989064,-145.1742553710938
989065,-127.7493896484375
989066,-110.5693664550781
989067,-93.28712463378906
989068,-76.04618072509766
989069,-58.89614868164063
989070,-41.50138092041016
989071,-24.21249198913574
989072,-6.982492446899414
989073,10.36784553527832
989074,27.7539234161377
989075,45.0479736328125
989076,62.2623291015625
989077,79.58551025390625
989078,96.98324584960938
989079,114.3893432617188
989080,131.6678771972656
989081,149.0307006835938
989082,166.228759765625
989083,-176.3778381347656
989084,-159.1954345703125
989085,-141.7404632568359
989086,-124.4367752075195
989087,-107.1413955688477
989088,-89.77892303466797
989089,-72.50985717773438
989090,-55.34463882446289
989091,-38.00596237182617
989092,-20.71479225158691
989093,-3.49428915977478
989094,13.88595104217529
989095,30.97613716125488
989096,48.1219596862793
989097,65.296142578125
989098,82.55535125732422
989099,100.0207443237305
989100,117.3753204345703
989101,134.5338439941406
989102,151.8949279785156
989103,169.4052581787109
989104,-173.1660919189453
989105,-156.0476989746094
989106,-138.7788848876953
989107,-121.6767349243164
989108,-104.5181350708008
989109,-87.2474365234375
989110,-70.01486206054688
989111,-52.73128128051758
989112,-35.35196304321289
989113,-18.11465454101563
989114,-0.9173265099525452
989115,16.61121368408203
989116,33.82535171508789
989117,51.22649765014648
989118,68.50032806396484
989119,85.8165283203125
989120,103.0438690185547
989121,120.1525192260742
989122,137.2923431396484
989123,154.6243438720703
989124,171.8318328857422
989125,-171.0553436279297
989126,-153.9332580566406
989127,-136.7360076904297
989128,-119.7333602905273
989129,-102.4049301147461
989130,-85.15126800537109
989131,-67.78970336914063
989132,-50.68929290771484
989133,-33.40682983398438
989134,-16.20076370239258
989135,1.15503454208374
989136,18.30920219421387
989137,35.66241836547852
989138,52.93438339233398
989139,70.15018463134766
989140,87.55484008789063
989141,104.8406066894531
989142,122.1136856079102
989143,139.4068908691406
989144,156.7735748291016
989145,173.9529113769531
989146,-168.6357269287109
989147,-151.3655090332031
989148,-134.1244354248047
989149,-116.8200531005859
989150,-99.44674682617188
989151,-82.2947998046875
989152,-64.91297912597656
989153,-47.75423049926758
989154,-30.29494094848633
989155,-12.86916065216064
989156,4.308513641357422
989157,21.75784873962402
989158,39.18333435058594
989159,56.36639404296875
989160,73.61866760253906
989161,91.04637145996094
989162,108.373176574707
989163,125.665283203125
989164,142.9945831298828
989165,160.3115997314453
989166,177.5362396240234
989167,-165.0772552490234
989168,-147.8712310791016
989169,-130.6028137207031
989170,-113.4433059692383
989171,-96.07456207275391
989172,-78.83011627197266
989173,-61.69775772094727
989174,-44.39229965209961
989175,-27.00000190734863
989176,-9.780556678771973
989177,7.43494176864624
989178,24.75658798217773
989179,42.11441421508789
989180,59.52596664428711
989181,76.72455596923828
989182,94.02027130126953
989183,111.271125793457
989184,128.4656829833984
989185,145.7550506591797
989186,163.1061248779297
989187,-179.7387084960938
989188,-162.36572265625
989189,-145.1779479980469
989190,-127.8164367675781
989191,-110.6331253051758
989192,-93.31427001953125
989193,-75.97682952880859
989194,-58.77056121826172
989195,-41.38198089599609
989196,-24.02416038513184
989197,-6.804216384887695
989198,10.42900562286377
989199,27.63449668884277
989200,44.85263061523438
989201,62.16386413574219
989202,79.43196105957031
989203,96.65553283691406
989204,113.9948043823242
989205,131.3701782226563
989206,148.5698394775391
989207,165.7386322021484
989208,-176.8052062988281
989209,-159.6375427246094
989210,-142.2941741943359
